Complaint ID,Consumer complaint narrative,my_category,my_risk,notes
4397934,"Opened account online, but get frozen the next day. Have not initiated any XXXX transfer but being told that's the reason.

Make multiple calls, nobody can help. They told me to visit a store to verify my ID. Driving to another state to visit the branch, not resolved during the visit, and nobody follows up.",Lack of action in a reasonable timeframe,Medium,Updated from low on second run through
7468119,"Formal Appeal Notification your request has been denied. 

Carrington Mortgage encouraged me to contact you.

First, Carrington Mortgage attempts to defraud a retired veterans with service connected mental health issues with deceptive practices. it was proven. I still have that illegal contract. I reported Carrington to to the CFPB, the XXXX XXXX, the Florida XXXX XXXX, HUD, numerous agencies and attorneys. 

Carrington Mortgage was enforced to comply with XXXX and XXXX XXXX. Unlike the first illegal contract. It took over a year to complete a contract that I agreed upon with VA support/Promissory Note. I signed it. However, Florida XXXX XXXX dictates that both spouse 's MUST sign the contract. My wife filed for divorce only days after I received that contract. My spouse doesn't want to sign a quit claim deed. She wants to liquidate the house according to her petition for divorce. 

Carrington Mortgage negated that contract after I pleaded and made a payment in good faith. I submitted numbers applications with my final statements. Only XXXX were approved using the same financial statements. I was not employed and in all those applications, I submitted my retirement and XXXX. The second contract was approved with my pay had never changed. 

Notwithstanding the current market, inflation and soaring percentage rates, now Carrington Mortgage can come with a new legal way to XXXX me out of my home. This is literally about my first home I have sworn to keep, not to sell or liquidate. I bought it for {$250000.00} the market price is nearly {$500000.00}. It's a great profit to ensure a veterans with XXXX, that suppose to be protected under the XXXX goes homeless. That is the bottom line. 

Therefore, you XXXX me, I XXXX you back. 
HUD, the VA, Florida XXXX court and XXXX 's concerned with get this grievance. 

After all I been through to protect this sorry XXXX country, this is it for me. When I finally realized that I have lost this battle to domestic terrorism, I AM GOING TO DOUSE XXXX Shady XXXX XXXX, XXXX, FL XXXX WITH GASOLINE AND BURN THIS XXXX DOWN. 

Carrington Mortgage has heard my recorded conversations. I have been declared INCOMPETENT with anti-social disorders by the VA, It doesn't matter to me if I get away with it or not. Spare me the legalities of the crime committed. 

I really don't give a XXXX. Don't call me, I will not answer. XXXX you.",Closed dispute without resolving the issue,High,Updated from predatory practices on second run through
8984458,"Timely payments are a certainty for me. However, I find it puzzling why this company occasionally marks certain months as late, which doesn't align with my records. According to XXXX XXXX, any billing discrepancies should be promptly corrected and reflected accurately.",Incorrect account filing,Low,
5584249,"My mortgage servicer is deliberately thwarting my efforts to bring my reverse mortgage current. A XX/XX/2022 sale date has been posted. The mortgage was called because XXXX XXXX funds assessed as property taxes on my home became delinquent. I could not pay {$28000.00} per year, especially after my job with XXXX ended. I was told that XXXX XXXX funding was not appropriate for reverse mortgage holders, and should not have been offered to me or the other reverse mortgage holders. There have been real problems, not just for me, because of this. My home is in a prime area of XXXX XXXX ; there is significant equity in the property. 

In XX/XX/2022, I applied for assistance from the XXXX XXXX XXXX XXXX. I was told I could qualify for as much as {$80000.00} ( a little more than half of the tax debt owed ). Because I monitored my application carefully, I learned XXXXXXXX XXXX that there was a specific program focused on reverse mortgages and that I should apply for that program. I did so immediately. 

That new application is now in an inactive status. I was told by XXXX XXXX XXXX XXXX representatives that my mortgage servicer, Finance of America Reverse, has never set up a mechanism to receive payment from the program. The Finance of America Reverse representatives I have spoken to since have individually and collectively referred me to XXXX, the funding source for all states ' mortgage relief program. Evidently Finance of America Reverse is not aware that the connection exists. 

I was told by several representatives for Finance of America Reverse that I was to send the money, without any further effort by the mortgage servicer. The company appears to refuse to acknowledge their clients in California need any assistance whatsoever, and are deliberately thwarting the benefits the XXXX program offers to all citizens. 

I have less than 17 days to stop foreclosure of my home of XXXX years. I want the sale date stopped. I will also appreciate fair reconsideration of my current mortgage.",Lack of action in a reasonable timeframe,High,
3364948,"Im filing this through the CFPB because while weve been with Capital One, weve had very few charge disputes but when we have had them, its amazing how poorly Capital One handles them and it all started off bad when visited their online resources to file the dispute and it simply ended with telling us to just call. I do such things like now XXXX-ish and dont, or cant call now I dont know any other bank/cc company that doesnt let you file a dispute purely online which goes along with our past experiences with this that they just havent given the dispute process the proper attention. 

Oddly and just very coincidentally we havent had to file a dispute in years but oddly have two to file. 

The first dispute is against XXXX dated XX/XX/2019 for {$520.00}. The reason is they failed to deliver a suitable product/service. We had been working with an XXXX vendor for over a year and that amount was really just to fix issues that they should have fixed without charge. The vendor is not trustworthy so the only way I would proceed was using XXXX XXXX XXXX program. After it took the vendor over a month ( it was supposed to take a week ) then the units still were not suitable and they refused to correct the program. I filed a claim with XXXX and had various issues with their form. It could only take certain file types, only so many characters, all these hoops and due to this I missed the time period for the dispute however, the email notifying me of that indicated no problem, just email them and they provided the email address ... Well, that email address got kicked back as didnt exist and when clicked on the feedback link in the same email it went to a page that didnt exist. I tried to contact them using some other email addresses but there was never a response and that was nearly two weeks ago. I have continually tried to work the issue out with the vendor and those efforts have failed with them now declaring not only will they not correct the program for the product but also that they own the program which is just an example of XXXX stealing intellectual property as well! 

The second dispute is against XXXX XXXX on XX/XX/2019 and for {$400.00}. I tried to resolve this through XXXX and completed their form only to be told that form would only go to the business to try to resolve it and to be back in contact with them if it didnt resolve it. I already tried with the business, thus went to XXXX and now CapitalOne! 

This was for a tri-fold brochure and everything started great with the company, they set the file perfectly ... however, once the brochures arrived I instantly noticed the folds were incorrect. I did send a pic where can clearly see that primarily the right fold is very far off. The other fold is just slightly off. 

I contacted them and instantly they said it was correct so clearly they had no desire to correct their mistake. After a couple emails back and forth they simply stopped responding. Instead they wanted me to jump through hoops and file some online form, take more pics ... which I refused to do, the issue is very obvious and I told them they can gladly have them sent back to them if they desire, these can't be used as is, no response to that suggestion. I also told them that instead of trying to get customers to jump through such hoops, why don't they fill out a quality control form where someone checks orders before then run an entire batch!?!?",Lack of action in a reasonable timeframe,Medium,
9076792,Wells Fargo closed my checking account and never sent me the remaining balance.,Incorrect account filing,Low,
2779966,"Dear Discover Card Services Team, I would like to initiate a complaint in regards to recent information that was erroneously and negligently given to me by the Discover team, which led me reach very high levels of debt with my Discover Credit Card, which unfortunately change my course of decisions related with this matter. 
My name is XXXX. and until recently, I truly never had any issues with my credit card, my limits or even my credit score. I have a friend that has owed me money for the past couple of years. Because my house sustained damages during the most recent Hurricane Harvey in XXXX, TX where I live and since he is currently living outside of the United States. He suggested paying me back using my credit card debt I had with Discover CC on the last month of XX/XX/XXXX. 
Since I am not an expert in financial matters, I contacted the Discover Call Center on Sunday XX/XX/XXXX and spoke with XXXX, I explained to him the situation I was in. He agreed that I should and could give my friend my credit card number in order for him to make payments on my behalf to my account. He placed comments and notes to document on my file in case anyone wanted to review my case or update any information. At this point, I called my friend and gave him my card number and he made a full payment of my Credit Card debt for {$9600.00} on XX/XX/XXXX, which Discover acknowledge received payment through email on the XX/XX/XXXX. My CC limit was {$10000.00}. 
Because everything was pay off but I still did not have any cash to fix my house, my friend suggested to request cash advanced to get some cash, not only for me but also for him since he does not have either access to any cash. On Sunday XX/XX/XXXX, I called Discover again and I spoke with XXXX from Illinois, I explained to her that my friend had paid all of my CC debt and again she confirmed my XXXX balance, so I told her my plan of requesting a total of {$20000.00} cash advanced in 4 weeks time to get cash to fix my house ; she placed me on hold for a bit, only to return a few minutes later to inform me that everything had been approved. She even made comments of casual nature, stating how nice my friend was, which put me even more at ease. She provided the XXXX XXXX XXXX information in XXXX where I could go and get the first {$5000.00} cash advanced out of my {$5500.00} cash advance permitted on my credit. After I explained again to XXXX my intentions and she stated that she could see the previous comments and notes on my account and that she was also documenting the new cash advanced authorized and approved for me to proceed. At this point I still felt secures and protected because Discover had approved and authorized the transactions and everything was documented on my file. I received the first cash advanced on XX/XX/XXXX, after XX/XX/XXXX. My friend transferred money from his account on XX/XX/XXXX in order to satisfy the payment of the first cash advance. Later that same week I called yet again, to verify that everything was in order. I spoke with operator and additionally I received a confirmation email from Discover stating payment of the amount of {$5400.00} had been received and postdated on XX/XX/XXXX under confirmation number : XXXX and that it had been applied to my CC account. It was my first cash advance for the amount of {$5000.00}, plus the {$250.00} cash advanced fee and {$220.00} doctors appointment payment. Up to XX/XX/XXXX Discover have not said anything else about the first payment made on my CC on XX/XX/XXXX from my friend. 
The following week on Monday XX/XX/XXXX I went again to XXXX  XXXX XXXX to get my second cash advanced approved transaction for {$5000.00} plus the fees and {$2400.00} medical payment for a total of {$7600.00}, which I also received an email from Discover that it has been paid under confirmation number : XXXX. Not happy with only the email I contacted Discover again and again I was informed the payment had been received and the payment had been applied to my account. 
On XX/XX/XXXX I went to the XXXX store and tried to ship a package and my Discover Card was declined, even though I had recently received a statement that my Credit Card account balance was {$0.00}. This was a complete surprise to me since nobody has called, texted or emailed me. Upon returning to my office, I call the Help Center and my call was transferred to Verification, which was answered by operator called XXXX. He was extremely rude and condescending, and after speaking to him for a few minutes it was obvious to me that he didnt even read the notes and comments on my file that apparently everyone else had access to. He did not even know that I was not me making the payments from my own account. He treated me like I was a delinquent and he demanded that my friend should get in touch with them to verify his accounts. I would ask you that you review this conversation, even if its for training purposes. I can assure you that I have never experienced this kind of service or treatment from any customer-facing company like Discover with whom I have impeccable records for a long time. I offer this gentlemen my friend phone number, which he refuses in a very mean way. 
A few days went by and nobody from Discover contacted me. However, I received a letter in the email stating that Discover can no longer satisfy my needs anymore and to please destroy the credit card and send back to them. If there was an issue with the first transaction and payment, how come Discover authorized the first cash advanced and furthermore the second cash advance was allowed? My credit limit would not have allowed for the first or second cash advance if they payment of {$9600.00}, have not been successfully received and applied the first time. 
Of course, I am shock. I have never done anything inappropriate nor illegal. When I was not sure of a proper course of action, I called your offices to seek guidance. If you review my file and listen to the recorded conversations for training purposes you will see that the only reason why I preceded with the cash advances was because the staff and leadership of Discover informed me it would not be a problem and it was approved. 
I will begin that payment of the starting balance of what my initial balance was {$9600.00}. However, I will be reaching out to other entities and private parties in order to look into this further. I feel misguided, mistreated and ultimately penalized for something that is not my fault. I have deposit to my friend the two cash advanced that he needed and I have physical prove of that in case Discover want to follow up the information. I felt everything was inappropriately managed and in a very negligent manner. 
I have sent this letter to Discover last XX/XX/XXXX and they interpreted as I want them to reopen my account, which is the least on my mind. I do n't want to deal with Discover ever in the future. But some how I am having difficulties making my payments for the high amount that I would n't have if they were checking and doing their job properly. I talk to a financial lawyer and after checking all the information he is assuring me that my case is a clear case of negligence from their side, since It would n't be possible to get any cash advanced since my CC limit was {$10000.00} only- Please advise since I lost all my confidence in the system. 

Thank you",Closed dispute without resolving the issue,Medium,
10576747,On XX/XX/year> I paid off my credit card through a debt consolidation loan. My card had a XXXX balance. On XX/XX/year> Capitol One charged me {$49.00} interest for a card with a XXXX balance. They refuse to remove the interest after I asked then how they can charge interest on a XXXX balance. I'm trying to close my card but they will not remove the interest so I can close the account. I don't understand how I can have interest on a card that has a XXXX balance.,Disputed/unauthorized account,Medium,Updated from low on second run through
6576797,I have been trying to fix this issue since last year. fraudulent charges were maid to my sears account several months ago I have call them numerous times even got a letter in the mail which I still have about the charges being removed but I'm still getting this messages about it. I even when on to cancel the credit card so no more charges would be made. Now I don't know what else to do since sears credit card is not fixing this issue.,Disputed/unauthorized account,Medium,
8330511,"Issue 1 - I received a letter from Rushmore Servicing stating that an election was made tp surrender my property, which was not the case. The letter also suggested alternatives such as a Deed in Lieu of short sale, which I did not agree to. I have not elected to surrender my property. In fact, I have diligently made efforts to maintain my property and fulfil my obligations under the terms of my mortgage. Furthermore, I have signed XXXX modifications with XXXX Bank and XXXX XXXX XXXX indicating my commitment to retaining ownership of my property. Issue 2 - Recently, I discovered that my mortgage has been increased by nearly {$430.00} per month, purportedly due to a shortage in my property tax and homeowner 's insurance. As a resident of XXXX XXXX, Illinois, I have diligently availed myself of every senior discount offered by the County. Despite this, the increase in my mortgage has made it nearly unmanageable for me on my fixed income. I am deeply concerned about the transparency and fairness of this increase, especially considering the impact it has on my financial well-being. I urge the Consumer Finance Protection Board to investigate this matter thoroughly and ensure that Rushmore Servicing adheres to all relevant regulations and guidelines.",Incorrect account filing,High,Updated from predatory practices on second run through
11916243,XXXX and a XXXX party account is charging me for the same account,Incorrect account filing,Low,
12309315,"I first contacted Equifax on XX/XX/XXXX, about the accounts they are reporting on my credit report being a direct result of identity theft and they have not helped me resolve the matter. I received a letter from the Illinois Department of Revenue notifying me that my personal information was exposed in a data breach, after this incident unknown identity thieves opened several accounts in my name. I notified Equifax about this a second time on XX/XX/XXXX, I made a police report, I contacted the Federal Trade Commission and they suggested I fill out an FTC Affidavit and contact Equifax again. I did contact Equifax a second time on XXXX but Equifax did not help resolve the matter. I have been sending Equifax notarized documents, drivers license, police reports, FTC reports and all other necessary supporting documentation for them to identify me and see that I am a victim of identity theft but Equifax has not helped resolve this matter. It seems that Equifax is wilfully neglecting my rights as a consumer. I have now consulted with a consumer rights lawyer and he advised me to contact Equifax once more. I have done that now and I hope to have this matter resolved promptly. This is the account that is a direct result of identity theft and needs to be deleted. 
XXXX Account Number XXXX XXXX Account Status CHARGE_OFF Balance {$770.00} Date Opened XX/XX/XXXX XXXX",Disputed/unauthorized account,High,
19623125,XXXX XXXXis falsely reporting on my credit. I have never had any accounts with them. Per my research XXXX XXXX a debt collector. They are falsely reporting on my credit!! Account number is XXXX falsely reporting to my credit file and is against my rights and fair credit act. Under U.S Code 1618d - Disclosure of investigation consumer report ; you are in violation.,Disputed/unauthorized account,High,
8132401,"Valley empire collections in XXXX XXXX, WA has inaccurately reported collection accounts as well as amounts to XXXX on multiple occasions after notification from me that I don't believe I am the owner of said accounts and the account that I do own had been duplicated and split into separated accounts. I requested proof of original debt XXXX  years ago and was sent a spreadsheet printout from collection agency with my name listed and account numbers typed with amounts next to them .....",Disputed/unauthorized account,Medium,
7398607,The fact that I always make timely payments on this account is causing me a great deal of XXXX. I have never missed a payment and I am very diligent about it. I kindly request that you update my account immediately and rectify the inaccurate late payment entry.,Incorrect account filing,Medium,
1555350,"Foreclosure sale date of XXXX IS OF THE ESSENCEMy financial situation has changed, as of XXXX, that I can afford my mortgage. 
Request for a modification package on XXXX has NOT been mailed, emailed, XXXX, nothing.",Lack of action in a reasonable timeframe,High,
13118236,"PLEASE BLOCKED AND REMOVED I respectfully request the elimination of these fraudulent accounts from my credit report, as I never authorized their inclusion. It is crucial that you promptly remove this misleading information from my records.",Incorrect account filing,Medium,
21173857,"I terminated my in insurance policy with XXXX  XX/XX/year>, at the same time i restarted my policy with XXXX. XXXX continued to bill me even though I cancelled my policy. 

I was covered with XXXX during that time period. Now XXXX  has sent that balance due to a collection agency called credit collection services ( ccs ). I reached out to XXXX and they verified that I stopped my account with them on XX/XX/year> and they contiuned to bill me through XX/XX/year>, during that time I was covered by XXXX. 

I reached out to credit collection services and asked them to stop texiting me, but the texts continue to come through. 

they are doing a false reporting. I do not owe this debt.",Incorrect account filing,Medium,
14269080,My title company sent a check for {$4500.00} to be applied to my account around XX/XX/XXXX. Check was cashed on XX/XX/XXXX and not applied to my account,Incorrect account filing,Medium,Updated from low on second run through
1571508,"I applied for a Ally Bank online savings account. It was denied in an Ally letter with words "" unable to verify applicants identity ''. There was NO information error in my application. I supplied an email address that I 've had for 14 years, a telephone number that I 've had for 17 years, a street address that I 've had for 38 years, and a social security number that I 've had for XXXX years! 

Ally noted in this refusal, that I was checked by XXXX. I requested my report from XXXX and received the report. An internet search reports this about XXXX : XXXX, the company that essentially does for checking accounts what FICO does for credit cards, stays relatively opaque. What XXXX does is keep tabs on any missteps in your checking history -- problems with overdrafts, or bounced checks, to name a couple. And when you want to open a new account, the bank will do a quick look at your XXXX record to see if you 've behaved well. XXXX will tell your bank whether to accept or decline your business. 

In my report, a section discusses accounts that have been mishandled, reported for cause or outstanding debts. In that section of my report, XXXX says "" no information found ''. In other words, no problem accounts about me found. 

Under "" inquiries initiated by consumer action '' XXXX named XXXX banks that I have present savings accounts with, that I have no problems with, and that I did not name in the Ally bank savings account form, because Ally did not request that information. So XXXX clearly located my accounts, clearly tied to my social security number. 

Under "" social security number validation '', XXXX reported "" XXXX became available for issuance in 1960 in XXXX '', in which both the date and the location ( Alabama ) is correct. 

So it is painfully obvious to me that there is nothing in the XXXX report that indicated "" unable to verify applicants identity ''. That had to be an Ally decision. 

I called Ally customer support telephone number XXXX times and online chat once. In all three cases they could not explain why my account was denied, and they REFUSED to connect me with anyone at Ally that could answer my question. 

Just today, I pulled my free annual credit report from XXXX. It was flawless. In summary XXXX reported : There are XXXX potentially negative items in your reportYou have XXXX accounts in good standing in your reportAlly does not require a minimum dollar amount to open an account, but did request how much I planned to deposit. I said {$23000.00}. Apparently my money is not green enough for Ally. 

I did a search on "" Ally bank application denied '' and found many pages of examples of other people being denied such accounts. It is becoming clear to me that Ally trolls for new accounts, and spends little to no effort in investigating any problems in such applications. The Ally directive is just get XXXX applications, throw out XXXX with no investigation. And stonewall anyone who tries to get clarification from Ally banking officials. 

It is becoming very clear from this lack of response and stonewalling, that this is not a bank that I want to deposit XXXX ( or XXXX ) of XXXX of dollars with. 

So I ask "" does Ally have any concept of the destructive bad will they are creating? ''",Closed dispute without resolving the issue,Medium,Updated from low on second run through
5050782,"as of XX/XX/XXXX I was giving a new payment XXXX which I paid for a whole year no lates XXXX 4.5 % XXXX XXXX XX/XX/XXXX I applied for a forbearance plan due to the covid-19 0utbreak which they canceled and gave me modification of a XXXX which changed XXXX 3.25 % which is no savings at all, how does the payment go up from XXXX XXXX, after I proved to PennyMac i'm exempt of realestate tax and when I purchased this without my real estate exemption my payment was XXXX .And another thing on XXXX XXXX I decided to get me so new homeowners and auto insurance with statefarm and pay the premiums directly they wont change the payment on the loan which in fact im paying my own home policy presently I been trying to get my money back or get a new loan from someone else I believe the have been sabotaging my credit and has cause all my money problems I need to get aways from this company .Please help they are the worst mortgage company I ever delt with they constantly change your payment and charge us a late fees making it so bad you have to refinance for any relief... ..then hold up your process time so you cant refinance out from them ....",Closed dispute without resolving the issue,Medium,Updated from predatory practices on second run through
7935019,"Freedom Mortgage is improperly collecting excessive portion of monthly mortgage payment for escrow. Total of property tax and homeowners insurance is now about {$7200.00} annually, due to last year 's increases in neighborhood assessment and premium increases. Instead of $ XXXX ( $ XXXX ), XXXX  is presently collecting $ XXXX. In fact, I have looked ahead at the respective tax and insurance payments required for XXXX, and only $ XXXX is necessary between now and those due dates with the present escrow balance.",Incorrect account filing,Medium,Updated from predatory practices on second run through
14903264,XXXX XXXX XXXX XX/XX/XXXX XXXX PM MST I used SWBC automated payment system for XX/XX/XXXX of {$1300.00} payment. This payment was returned on XX/XX/XXXX according to SWBC and you charged {$78.00} in fees. I contacted my bank XXXX XXXX XXXX XXXX and they stated that SWBC computer system never presented the XXXX payment. I have been making my XXXX payment by money orders in prior months. The automatic payment system was suspended on my account for 1 year starting in XXXX. What happen to the automatic systems release? Why did SWBC not take the auto payment from there system. I want the late payment removed on the credit report and a refund of the fee {$78.00}.,Incorrect account filing,Medium,
6945063,"My parents had a trust account with Wells Fargo, and after they passed away my sister and I were trustees on the account. All documentation was given to Wells Fargo and we were able to deposit and withdraw money with no problem. The account was eventually closed, and Wells Fargo sent me an interest check for XXXX dollars. I tried to cash the check at Wells Fargo and they denied it. The check was written in the trusts name. Wells Fargo stated that the check needed to be written in my name. I called the company and had the check re-issued but they still put it in the trust name. I have contacted numerous different officials and also have a customer service rep that will not return my calls. Therefore they have my money and they will not give it to me.",Lack of action in a reasonable timeframe,Medium,Updated from low on second run through
6868700,I reached out to Navy Federal late XXXX regarding over {$8800.00} of unauthorized charges that consisted of XXXX and XXXX XXXX. Someone had got into my vehicle and took my husband wallet an my debit card was in it. After XXXX weeks of waiting I was informed that my claim was wrongfully denied so I emessaged the bank for a second review. After calling several time I was told giving the police report information would help speed the investigation so I immediately contacted the police department and got the information to them. It has been XXXX months and I have not received any update on my claim nor have I received any money while my claim is still being investigated. The only information I receive when I call customer service is that its still under review and theres no time frame. This isnt being handled properly and I need my claim approved immediately or I will have to seek further legal action for my money and the stress this has caused me financially.,Lack of action in a reasonable timeframe,High,
8248651,In XXXXXXXX XXXX XXXX  transactions were made on my account that I did not authorize I immediately contacted chime and replaced my cards. They have not disputed the right transactions or all of them that I filed over and transactions are missing online that I have screenshots of proving this matter and I'm always on the phone for over an hour and get hung up on. The last time I tried to resolve the issue I requested proof of all the transactions and documents on the disputes I filed for and reason to why it's taking so long to settle them and what happened to all the missing transactions and I just get a run around now I'm seeking further help.,Lack of action in a reasonable timeframe,Medium,
7190246,A credit card JPMCB CARD SERVICES waS opened XX/XX/23 with a balance of XXXX which I did not open. I received an alert from my bank,Disputed/unauthorized account,High,
7330942,"I have a XXXX hardship, and requested a forbearance on my XXXX XXXX owned loan. XXXX XXXX policy is that the initial forbearance time period can be up to 180 days. 
PHH refused to allow my request for 180 day forbearance, and insisted that all they could do is a 90 day forbearance. I asked to speak to a manager, and the manager also insisted that the initial forbearance period could only be 90 days. They had no explanation for why they weren't following the policy of the owner of the loan. 

PHH is refusing to follow their investor guidance from XXXX XXXX, and is making up a confusing and frustrating policy.",Closed dispute without resolving the issue,High,
16684764,Paid {$100.00} towards my card on XX/XX/25 and my advailabe credit updated for a little bit and then decreased. Payment posted a week ago but my available credit shows {$120.00} instead of {$220.00},Incorrect account filing,Low,
